MSFT,IBM,SBUX,AAPL,GSPC,Date
25.459042,188.172427,27.177501,58.712255,1502.959961,2013-01-25
45.201126,183.854215,36.55444,98.403968,1994.290039,2014-09-22
20.130423,100.681855,8.5032,21.853061,994.75,2009-09-02
25.515771,111.639978,9.950943,27.248193,1109.800049,2009-11-18
21.175324,104.811421,7.027968,23.75419,1273.699951,2008-07-08
35.016449,162.250598,37.072763,76.696628,1775.5,2013-12-12
30.411563,187.534601,30.267312,61.453494,1633.77002,2013-05-13
23.564071,97.23749,12.438678,19.617217,1517.72998,2007-09-24
15.806521,80.586259,4.641025,13.118716,826.840027,2009-02-13
25.927631,195.777413,27.39488,61.908612,1563.77002,2013-03-26
26.503732,89.910113,8.663551,17.907921,1378.550049,2008-01-31
23.040362,89.765141,8.571921,16.518787,1348.859985,2008-02-12
41.848041,159.623718,47.743086,126.279121,2107.959961,2015-04-22
25.881595,195.685216,27.39488,60.779557,1545.800049,2013-03-21
22.607303,146.136766,16.548461,43.764332,1324.459961,2011-04-11
22.955375,151.859229,17.341145,46.324308,1355.660034,2011-04-27
23.21642,163.381935,18.080102,49.925473,1164.969971,2011-10-06
42.402898,154.835772,45.224575,124.767156,2096.98999,2015-02-13
20.683827,103.322339,6.441541,22.83207,1239.48999,2008-07-11
31.71889,180.550788,32.628182,56.410071,1631.890015,2013-07-05
23.668551,97.761677,8.402408,20.057771,1369.310059,2008-04-03
24.951394,87.376272,13.00678,14.224731,1501.189941,2007-05-15
22.740456,150.154188,17.605794,49.486243,1173.969971,2011-09-02
26.902881,181.786694,25.161498,72.245548,1324.800049,2012-05-16
55.084498,136.22849,59.834461,104.691918,2043.939941,2015-12-31
15.823082,66.142738,3.944642,12.093403,845.219971,2008-12-04
22.014765,163.695629,19.932888,49.811698,1188.040039,2011-11-22
29.766842,171.241787,34.595821,66.462573,1639.77002,2013-09-03
20.574657,110.249659,10.854024,31.965957,1064.589966,2010-08-27
22.484847,148.472624,17.727892,50.239023,1165.23999,2011-09-06
33.896899,166.490057,35.972406,75.322897,1781.560059,2014-01-27
21.670995,97.677276,6.90885,21.32916,1236.829956,2008-09-04
54.746922,134.555576,59.724819,111.872953,2021.939941,2015-12-14
31.867704,173.289686,37.601213,67.037989,1703.199951,2013-10-11
35.223422,173.462249,38.236132,77.156368,1842.02002,2013-12-26
22.753991,79.033647,14.495756,12.430764,1434.540039,2007-03-22
21.159311,117.179489,11.991685,38.068885,1134.280029,2010-09-22
25.41373,111.535514,12.062364,33.867085,1165.869995,2010-05-05
22.901363,98.82339,7.774747,19.551068,1328.319946,2008-04-14
36.122611,176.097565,34.692604,73.276869,1873.810059,2014-03-05
24.036134,171.331166,19.827063,55.829953,1224.579956,2011-10-14
23.630683,162.185952,19.385626,52.624364,1229.050049,2011-10-25
15.409082,65.681514,3.642265,11.765303,816.210022,2008-12-01
15.698143,84.88866,5.341989,15.563591,852.059998,2009-04-15
23.442524,97.55534,12.750218,18.6435,1519.780029,2007-09-18
24.017464,107.39284,11.708131,31.203918,1110.880005,2010-05-07
23.162533,96.379768,8.732273,15.763363,1381.290039,2008-02-26
43.707224,162.378181,54.067628,121.541881,2076.620117,2015-07-10
22.687572,145.109482,17.521263,49.940025,1154.22998,2011-09-09
24.459376,114.297293,12.22798,33.386843,1120.800049,2010-05-18
23.469445,82.711754,15.311257,11.401483,1448.310059,2007-02-08
23.119464,155.126955,18.080102,51.595079,1212.920044,2011-08-30
20.974113,102.381718,9.112534,22.776505,1042.72998,2009-09-11
23.893178,129.464014,14.912675,42.373877,1241.589966,2010-12-14
23.953024,97.45497,12.41119,20.265479,1517.209961,2007-09-25
46.375451,154.754132,39.628091,110.448602,2078.540039,2014-12-22
55.729866,137.881603,60.153418,110.739099,2073.070068,2015-12-16
24.447319,98.542353,12.06758,22.126919,1561.800049,2007-10-12
26.780151,87.736016,9.007161,17.200124,1330.609985,2008-01-25
15.301441,70.020425,4.072923,10.34574,805.219971,2009-01-20
22.399842,77.879568,13.744396,11.667402,1395.410034,2007-03-06
25.473327,111.666775,11.422903,31.745018,1186.439941,2010-04-08
22.822891,175.658384,20.724923,52.075325,1255.189941,2011-12-09
26.424823,193.057773,27.755023,56.815119,1553.280029,2013-04-05
42.476943,183.99423,38.453673,94.632353,1978.339966,2014-07-25
42.658304,182.195938,38.062985,91.493123,1978.219971,2014-07-18
44.912973,183.71141,36.794542,98.209227,1998.97998,2014-09-16
17.682216,73.684576,4.833446,12.997001,930.98999,2008-11-07
21.305475,118.540699,12.084177,38.673487,1148.670044,2010-09-24
31.663261,190.952406,30.604579,59.750729,1650.51001,2013-05-23
22.337547,152.547307,16.953845,46.2317,1357.160034,2011-05-10
24.568867,100.039602,11.94388,22.435174,1538.530029,2007-10-16
24.883749,178.532916,26.220715,66.736675,1485.97998,2013-01-18
18.340158,75.593718,5.044194,11.740166,909.919983,2008-10-09
27.496255,183.151938,25.674029,75.301646,1354.579956,2012-05-09
23.683638,90.543585,11.962206,17.509702,1510.119995,2007-07-10
22.063538,149.92938,17.42734,49.439939,1172.640015,2011-08-11
16.452362,68.833198,4.178296,12.436056,876.070007,2008-12-05
37.828743,178.440645,34.765587,78.724867,1863.400024,2014-04-25
32.451364,186.358279,31.052661,58.406087,1612.52002,2013-06-12
21.850945,115.031589,11.714206,34.40951,1121.640015,2010-08-06
25.927631,194.283919,27.222011,62.236186,1551.689941,2013-03-25
28.980122,180.910503,27.98943,75.804378,1378.530029,2012-04-20
17.189282,76.212765,4.682258,12.306404,934.700012,2009-01-06
19.589992,91.228035,6.656869,18.844594,918.900024,2009-06-26
29.725451,175.523754,34.8809,62.837321,1690.910034,2013-08-07
45.20626,162.815855,51.709538,126.836165,2092.830078,2015-06-05
21.486605,109.024864,6.72101,21.151879,1284.26001,2008-07-30
41.971039,185.300367,38.268097,95.940365,1978.910034,2014-07-28
20.867439,113.025124,11.094505,32.955547,1079.25,2010-08-13
25.200885,111.990551,11.563619,29.734082,1165.810059,2010-03-22
20.822248,102.529153,8.855973,22.497354,1028.930054,2009-08-28
52.731395,131.566122,58.787882,98.982891,1921.839966,2016-01-14
51.798093,121.350463,58.419088,99.450356,1903.630005,2016-01-26
23.397895,80.461716,14.66527,11.709738,1449.369995,2007-02-26
24.341978,98.726373,11.962206,22.091199,1548.709961,2007-10-15
18.524497,93.351624,6.963827,18.881637,942.429993,2009-06-09
27.409999,175.163441,28.043139,52.429133,1555.25,2013-04-19
25.295442,112.972861,10.262482,25.754543,1106.410034,2009-12-11
16.046641,78.083274,4.146226,10.958282,840.23999,2009-01-21
53.413882,133.941849,61.140195,119.919288,2078.580078,2015-11-09
31.848695,180.485959,31.703108,53.795115,1603.26001,2013-06-26
46.853183,155.214249,38.30453,108.795881,2038.25,2014-11-12
39.638339,153.658092,45.935682,121.98866,2059.689941,2015-04-01
21.199898,100.767197,7.183738,22.249957,1261.52002,2008-07-02
22.676917,152.082067,17.052048,46.247576,1347.319946,2011-05-04
24.896656,142.976841,15.358522,45.49083,1296.630005,2011-01-26
20.942405,147.775166,16.453138,45.436588,1300.160034,2011-06-03
30.49501,174.937305,35.243286,62.712171,1697.47998,2013-08-08
19.94236,90.140341,6.363656,18.843271,919.320007,2009-06-30
40.796958,177.056436,37.794155,92.006638,1920.23999,2014-08-06
20.7885,103.483153,8.814739,22.366379,1025.569946,2009-08-24
27.129758,183.611467,28.050936,82.845304,1368.709961,2012-04-11
30.625861,179.796417,36.354602,61.230778,1697.599976,2013-09-16
24.770714,109.99348,9.932617,26.722968,1087.23999,2009-11-12
24.394917,146.332867,15.084325,46.553184,1319.050049,2011-02-07
45.987618,146.161987,58.657764,109.712491,1987.050049,2015-10-05
20.830685,103.578554,8.906369,22.417977,1030.97998,2009-08-27
41.541496,178.360768,38.13226,93.447745,1933.75,2014-08-12
42.130335,155.443922,46.419633,127.005659,2107.780029,2015-03-03
26.151335,114.802316,10.66107,27.244224,1136.030029,2010-01-15
22.694321,142.758557,15.023709,46.584936,1308.439941,2011-03-02
20.771627,101.870023,8.713947,22.531752,1016.400024,2009-09-04
19.388639,101.543845,7.925935,21.180986,982.179993,2009-07-27
24.488112,81.569243,15.833545,11.36973,1420.619995,2007-01-29
17.419039,67.660628,4.393625,12.183366,848.919983,2008-10-27
26.848896,180.476059,25.711995,77.497794,1344.780029,2012-06-18
42.69493,157.97303,46.177659,127.14311,2110.300049,2015-02-20
19.105017,81.242014,5.626039,11.795731,996.22998,2008-10-07
26.486471,114.396967,12.600616,35.654438,1212.050049,2010-04-26
42.022997,140.925108,53.928579,108.21704,1921.219971,2015-09-04
24.636474,87.793024,12.672333,16.549216,1531.050049,2007-06-18
12.738589,73.690398,3.830105,11.28506,683.380005,2009-03-06
24.728511,175.558434,24.020107,78.052544,1398.939941,2012-11-27
37.942887,176.99034,34.683513,83.6838,1885.079956,2014-05-19
26.345029,173.686256,24.013047,79.885785,1350.52002,2012-07-23
34.357891,164.48731,36.883712,75.937244,1781.0,2013-12-17
24.484708,104.822903,8.374919,21.305346,1390.329956,2008-04-18
23.799136,98.00604,8.388663,20.624009,1372.540039,2008-04-07
27.040368,174.221523,23.239364,67.400777,1350.5,2012-02-14
19.673889,101.552479,7.889283,21.166433,979.26001,2009-07-24
19.732617,101.802822,8.109194,21.616247,987.47998,2009-07-31
20.720821,110.726962,10.803153,32.133974,1055.329956,2010-08-25
43.539461,180.959929,38.279263,97.887898,1981.599976,2014-08-19
